epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,1515.94,0.82091,1.08494,1.25166,0.93649,0.97904,0.98008,0.61217,0.99833,0.99912,1.32892,0.000362637,0.000362637,0.000362637
113,1529.35,0.81206,1.03579,1.24811,0.93517,0.98626,0.97918,0.64162,0.90306,0.93179,1.25072,0.0003614,0.0003614,0.0003614
114,1542.62,0.81476,1.06294,1.25152,0.94943,0.98658,0.97501,0.6353,0.86411,0.93901,1.21663,0.000360162,0.000360162,0.000360162
115,1555.86,0.82346,1.09558,1.26519,0.95155,0.97943,0.97826,0.62356,0.88727,0.92573,1.22454,0.000358925,0.000358925,0.000358925
116,1569.1,0.79507,1.01425,1.22506,0.95065,0.98246,0.97827,0.6406,0.88649,0.96694,1.24081,0.000357687,0.000357687,0.000357687
117,1582.87,0.84048,1.10053,1.2877,0.95413,0.9875,0.98244,0.64933,0.89325,0.94985,1.24161,0.00035645,0.00035645,0.00035645
118,1596.14,0.81945,1.06013,1.26539,0.95365,0.9875,0.98556,0.62794,0.95172,0.97844,1.29695,0.000355212,0.000355212,0.000355212
119,1609.56,0.80108,0.9922,1.24134,0.95595,0.9875,0.9839,0.63547,0.90427,1.00098,1.26223,0.000353975,0.000353975,0.000353975
120,1623.05,0.79173,1.01776,1.21133,0.9484,0.9875,0.98227,0.66577,0.82442,0.94504,1.19167,0.000352738,0.000352738,0.000352738
121,1636.47,0.7927,1.02597,1.23618,0.95442,0.97701,0.98298,0.65265,0.84263,0.94815,1.20669,0.0003515,0.0003515,0.0003515
122,1649.95,0.81161,1.05193,1.26372,0.95132,0.9875,0.96726,0.64162,0.85543,0.96253,1.21178,0.000350263,0.000350263,0.000350263
123,1663.34,0.82834,1.10848,1.30065,0.94875,0.9875,0.96728,0.64113,0.88611,0.96968,1.23201,0.000349025,0.000349025,0.000349025
124,1676.62,0.79572,1.03247,1.25644,0.9519,0.9875,0.96659,0.63527,0.8797,0.96316,1.22568,0.000347788,0.000347788,0.000347788
125,1690.02,0.7843,1.03113,1.25018,0.95954,0.9875,0.96711,0.63591,0.86517,0.95158,1.21106,0.00034655,0.00034655,0.00034655
126,1703.89,0.78185,1.00149,1.21595,0.95433,0.9875,0.9658,0.63823,0.85059,0.92282,1.208,0.000345313,0.000345313,0.000345313
127,1717.31,0.80497,1.02411,1.23251,0.945,0.9875,0.9671,0.62531,0.90285,0.97448,1.25023,0.000344075,0.000344075,0.000344075
128,1730.82,0.78163,1.02996,1.22959,0.94803,0.9875,0.97032,0.62922,0.92464,1.01076,1.26863,0.000342838,0.000342838,0.000342838
129,1744.14,0.79354,0.98577,1.24043,0.94672,0.9875,0.97181,0.64577,0.8579,0.9767,1.22192,0.0003416,0.0003416,0.0003416
130,1757.43,0.79032,1.03412,1.23709,0.95129,0.97705,0.9841,0.65161,0.87634,0.97342,1.24111,0.000340363,0.000340363,0.000340363
131,1770.73,0.7861,1.01377,1.21843,0.94859,0.98585,0.98332,0.66218,0.83286,0.96126,1.21483,0.000339125,0.000339125,0.000339125
132,1784.19,0.77393,1.00579,1.22,0.94039,0.9875,0.9737,0.65937,0.83792,0.92771,1.21519,0.000337887,0.000337887,0.000337887
133,1797.53,0.77422,0.98997,1.21725,0.94414,0.98621,0.98056,0.65078,0.87043,0.9374,1.23618,0.00033665,0.00033665,0.00033665
134,1810.86,0.7739,0.99776,1.20352,0.95262,0.98494,0.98463,0.65141,0.88612,0.93235,1.24328,0.000335413,0.000335413,0.000335413
135,1824.63,0.78631,1.00682,1.21537,0.94306,0.98162,0.98332,0.6391,0.91219,0.97839,1.25562,0.000334175,0.000334175,0.000334175
136,1838.15,0.79434,1.02236,1.23781,0.95574,0.97757,0.97876,0.62954,0.8915,0.96823,1.23204,0.000332938,0.000332938,0.000332938
137,1851.52,0.78258,0.99185,1.2046,0.95684,0.97745,0.97091,0.64569,0.86389,0.95751,1.20811,0.0003317,0.0003317,0.0003317
138,1864.93,0.77546,0.98282,1.21461,0.9539,0.97484,0.96843,0.656,0.85984,0.92591,1.21903,0.000330463,0.000330463,0.000330463
139,1878.4,0.76589,1.0009,1.20333,0.95846,0.97865,0.96449,0.64898,0.84598,0.91794,1.208,0.000329225,0.000329225,0.000329225
140,1891.63,0.74958,0.97848,1.18684,0.95809,0.98558,0.96404,0.66299,0.82536,0.894,1.20153,0.000327988,0.000327988,0.000327988
141,1905.01,0.75983,1.00883,1.20651,0.95716,0.98569,0.95711,0.63371,0.849,0.90431,1.21056,0.00032675,0.00032675,0.00032675
142,1918.32,0.79661,0.99899,1.25118,0.94376,0.9875,0.96998,0.64192,0.84341,0.92825,1.20477,0.000325512,0.000325512,0.000325512
143,1931.83,0.77183,0.99966,1.2279,0.94199,0.9875,0.97112,0.64506,0.85127,0.97763,1.22026,0.000324275,0.000324275,0.000324275
144,1945.76,0.78575,1.00694,1.24056,0.95328,0.9875,0.97156,0.64269,0.87503,0.93569,1.2376,0.000323038,0.000323038,0.000323038
145,1959.06,0.80547,1.04608,1.24801,0.95588,0.98525,0.97943,0.6628,0.89479,0.93937,1.24713,0.0003218,0.0003218,0.0003218
146,1972.49,0.77723,0.98872,1.23283,0.95694,0.98673,0.97196,0.61746,0.9219,0.95201,1.26557,0.000320562,0.000320562,0.000320562
147,1985.78,0.76418,0.97876,1.22321,0.95062,0.9875,0.96781,0.61292,0.9129,0.94504,1.25546,0.000319325,0.000319325,0.000319325
148,1999.18,0.77543,0.96525,1.21304,0.95905,0.9673,0.97439,0.63573,0.88974,0.91849,1.2502,0.000318088,0.000318088,0.000318088
149,2012.61,0.79977,1.0143,1.25488,0.95873,0.9667,0.96707,0.62225,0.90517,0.94464,1.25623,0.00031685,0.00031685,0.00031685
150,2026.11,0.79353,1.00933,1.23496,0.94441,0.98564,0.9669,0.62924,0.8966,0.96606,1.26269,0.000315612,0.000315612,0.000315612
151,2039.61,0.77734,0.99033,1.22863,0.94851,0.98188,0.96683,0.63595,0.87058,0.97982,1.25304,0.000314375,0.000314375,0.000314375
152,2052.93,0.77405,0.97874,1.22908,0.95122,0.9864,0.96693,0.62695,0.8881,0.97778,1.25573,0.000313138,0.000313138,0.000313138
153,2066.71,0.78985,1.01205,1.2366,0.94936,0.97663,0.97123,0.61153,0.93455,0.98747,1.28787,0.0003119,0.0003119,0.0003119
154,2080.15,0.76879,0.98358,1.23938,0.94893,0.98059,0.96884,0.65084,0.86101,0.96613,1.22129,0.000310662,0.000310662,0.000310662
155,2093.51,0.77439,0.94947,1.22148,0.94949,0.97923,0.97007,0.65437,0.87147,0.98672,1.22399,0.000309425,0.000309425,0.000309425
156,2106.87,0.79657,1.02402,1.24958,0.94391,0.9875,0.97168,0.65277,0.86691,0.95081,1.21738,0.000308188,0.000308188,0.000308188
157,2120.13,0.76994,1.00753,1.2135,0.94097,0.9875,0.97118,0.66373,0.84679,0.9365,1.20747,0.00030695,0.00030695,0.00030695
158,2133.49,0.74699,0.9428,1.1993,0.95151,0.98373,0.96841,0.66472,0.85815,0.9626,1.20581,0.000305712,0.000305712,0.000305712
159,2146.81,0.745,0.95065,1.1997,0.9469,0.9875,0.96779,0.65113,0.90672,0.98338,1.24364,0.000304475,0.000304475,0.000304475
160,2160.11,0.77253,0.9888,1.22423,0.94556,0.9875,0.96767,0.64854,0.90239,0.97845,1.24484,0.000303237,0.000303237,0.000303237
161,2173.37,0.75381,0.95944,1.20428,0.95301,0.9875,0.96765,0.64533,0.87213,0.95652,1.23081,0.000302,0.000302,0.000302
162,2187.29,0.76887,0.97637,1.2269,0.95839,0.9875,0.96578,0.63499,0.87607,0.98397,1.24676,0.000300762,0.000300762,0.000300762
163,2200.85,0.79048,1.02917,1.22673,0.95762,0.98393,0.96523,0.63578,0.89456,1.02162,1.25822,0.000299525,0.000299525,0.000299525
164,2214.27,0.76681,1.03791,1.22809,0.95224,0.9875,0.97271,0.6457,0.90475,0.98904,1.26053,0.000298288,0.000298288,0.000298288
165,2227.8,0.76797,0.95127,1.22061,0.94976,0.9875,0.9837,0.63398,0.92725,0.95462,1.27944,0.00029705,0.00029705,0.00029705
166,2241.15,0.78252,0.97543,1.24088,0.95049,0.9875,0.98459,0.65086,0.90659,0.94566,1.24549,0.000295813,0.000295813,0.000295813
167,2254.62,0.77104,0.96553,1.19827,0.95273,0.98667,0.97849,0.65569,0.87,0.94529,1.21073,0.000294575,0.000294575,0.000294575
168,2267.92,0.78471,0.98179,1.22644,0.95066,0.9875,0.97028,0.64812,0.8562,0.93511,1.20369,0.000293338,0.000293338,0.000293338
169,2281.25,0.76099,0.92795,1.2034,0.94726,0.9875,0.96703,0.64283,0.89737,0.92996,1.22737,0.0002921,0.0002921,0.0002921
