epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,2281.6,0.60859,0.80211,1.03396,0.9263,0.95126,0.9575,0.62522,0.94445,1.02634,1.31754,0.000367587,0.000367587,0.000367587
109,2302.51,0.59968,0.79489,1.03155,0.93551,0.97244,0.96693,0.62316,0.98198,1.08874,1.35314,0.00036635,0.00036635,0.00036635
110,2323.54,0.59702,0.79172,1.0195,0.92559,0.947,0.96497,0.61936,0.95605,1.05314,1.33371,0.000365113,0.000365113,0.000365113
111,2344.53,0.59737,0.7764,1.01337,0.92671,0.94709,0.95758,0.62071,0.95547,1.04591,1.35015,0.000363875,0.000363875,0.000363875
112,2365.55,0.5902,0.76701,1.00749,0.9323,0.9606,0.96337,0.61493,0.98406,1.06401,1.36116,0.000362637,0.000362637,0.000362637
113,2386.62,0.58592,0.77249,1.0181,0.9301,0.96065,0.95649,0.6234,0.97324,1.04966,1.34797,0.0003614,0.0003614,0.0003614
114,2407.59,0.59773,0.7803,1.017,0.93005,0.96517,0.96842,0.62025,0.96819,1.04992,1.34907,0.000360162,0.000360162,0.000360162
115,2429.05,0.5835,0.76332,1.0103,0.92668,0.95617,0.9443,0.60879,0.93291,1.01779,1.29703,0.000358925,0.000358925,0.000358925
116,2450.04,0.59339,0.76634,1.00887,0.92883,0.95617,0.93907,0.60118,0.95747,1.02879,1.32553,0.000357687,0.000357687,0.000357687
117,2471.06,0.58971,0.75666,1.01007,0.93216,0.96071,0.94766,0.59066,0.99103,1.02032,1.3702,0.00035645,0.00035645,0.00035645
118,2492.11,0.57379,0.75152,0.99942,0.928,0.95546,0.95386,0.62718,0.941,1.02792,1.32043,0.000355212,0.000355212,0.000355212
119,2513.09,0.57681,0.75799,1.00582,0.92583,0.95374,0.94497,0.60035,0.96047,1.00355,1.33537,0.000353975,0.000353975,0.000353975
120,2534.11,0.57924,0.74596,0.99842,0.92964,0.95455,0.94042,0.61051,0.94868,1.0478,1.31976,0.000352738,0.000352738,0.000352738
121,2555.21,0.58171,0.77206,1.01055,0.92026,0.95576,0.93984,0.61112,0.95157,1.10021,1.32635,0.0003515,0.0003515,0.0003515
122,2576.57,0.57939,0.75461,1.0085,0.91538,0.95304,0.93857,0.58435,1.01377,1.11283,1.41395,0.000350263,0.000350263,0.000350263
123,2597.55,0.59013,0.7594,1.01772,0.92658,0.95895,0.95012,0.59606,0.97422,1.03857,1.33969,0.000349025,0.000349025,0.000349025
124,2618.53,0.58403,0.77009,1.00814,0.92097,0.95311,0.944,0.59408,0.97282,1.03992,1.34641,0.000347788,0.000347788,0.000347788
125,2639.42,0.57737,0.74712,0.99843,0.91789,0.95438,0.95697,0.59844,1.02155,1.07624,1.42558,0.00034655,0.00034655,0.00034655
126,2660.45,0.59594,0.75513,1.0168,0.9143,0.94046,0.95225,0.62687,0.96629,1.067,1.34435,0.000345313,0.000345313,0.000345313
127,2681.34,0.6074,0.78402,1.03184,0.91387,0.94308,0.95716,0.61465,0.97125,1.11679,1.34601,0.000344075,0.000344075,0.000344075
128,2702.47,0.59505,0.79111,1.00713,0.93522,0.9455,0.94798,0.59266,0.97863,1.09234,1.37442,0.000342838,0.000342838,0.000342838
129,2723.47,0.58103,0.77198,1.00981,0.93392,0.95862,0.9546,0.60627,0.94168,1.11446,1.29746,0.0003416,0.0003416,0.0003416
130,2744.88,0.59101,0.78772,1.01259,0.93327,0.96071,0.9519,0.61282,0.96269,1.10801,1.31088,0.000340363,0.000340363,0.000340363
131,2765.9,0.56089,0.7553,0.98474,0.93645,0.95478,0.94602,0.59088,1.00678,1.1082,1.378,0.000339125,0.000339125,0.000339125
132,2786.8,0.57078,0.74388,1.01289,0.93602,0.9528,0.94611,0.60506,0.9565,1.05671,1.32423,0.000337887,0.000337887,0.000337887
133,2807.74,0.5534,0.74009,0.97923,0.92385,0.95249,0.94431,0.60248,0.92914,1.06309,1.28511,0.00033665,0.00033665,0.00033665
134,2828.76,0.5528,0.73415,0.99417,0.92655,0.94469,0.94245,0.61659,0.94516,1.08312,1.30246,0.000335413,0.000335413,0.000335413
135,2849.67,0.54482,0.72621,0.9764,0.92756,0.94529,0.95245,0.61015,0.94389,1.07057,1.32762,0.000334175,0.000334175,0.000334175
136,2870.6,0.55988,0.72337,0.99338,0.93066,0.95191,0.94931,0.59642,0.96116,1.03382,1.34756,0.000332938,0.000332938,0.000332938
137,2891.83,0.53911,0.71391,0.97562,0.93878,0.96385,0.96327,0.61525,0.97876,1.06877,1.34521,0.0003317,0.0003317,0.0003317
138,2912.77,0.53355,0.71513,0.98417,0.94544,0.96374,0.96506,0.6101,0.95969,1.12347,1.31717,0.000330463,0.000330463,0.000330463
139,2933.79,0.532,0.72398,0.97651,0.94272,0.96729,0.9644,0.61749,0.97261,1.08383,1.31261,0.000329225,0.000329225,0.000329225
140,2954.71,0.54309,0.71269,0.98445,0.94765,0.95724,0.95493,0.62346,0.97228,1.03937,1.31854,0.000327988,0.000327988,0.000327988
141,2975.66,0.55099,0.7174,0.98139,0.94196,0.96335,0.9648,0.62193,0.98358,1.04652,1.32642,0.00032675,0.00032675,0.00032675
142,2996.56,0.5386,0.7143,0.96915,0.93401,0.96087,0.95824,0.61119,1.03334,1.08096,1.38838,0.000325512,0.000325512,0.000325512
143,3017.47,0.54331,0.7335,0.98748,0.93499,0.96037,0.96846,0.61658,1.05165,1.11725,1.43103,0.000324275,0.000324275,0.000324275
144,3038.35,0.53874,0.70723,0.97487,0.93261,0.95831,0.97373,0.61645,1.03049,1.03183,1.41223,0.000323038,0.000323038,0.000323038
145,3059.59,0.51744,0.69383,0.96008,0.92927,0.96528,0.97049,0.59489,1.02385,1.03185,1.4009,0.0003218,0.0003218,0.0003218
146,3080.58,0.51979,0.68985,0.96554,0.93715,0.97822,0.96061,0.60609,0.9916,0.99752,1.36411,0.000320562,0.000320562,0.000320562
147,3101.49,0.52355,0.70067,0.96602,0.94353,0.97711,0.9701,0.62523,0.97339,0.98515,1.34583,0.000319325,0.000319325,0.000319325
148,3122.42,0.52183,0.68948,0.95688,0.94346,0.97789,0.96948,0.61145,0.99736,1.01453,1.37743,0.000318088,0.000318088,0.000318088
149,3143.44,0.53055,0.69864,0.97021,0.93297,0.96276,0.97387,0.63228,0.95206,1.0379,1.31902,0.00031685,0.00031685,0.00031685
150,3164.39,0.52538,0.70021,0.96828,0.92763,0.9578,0.97428,0.62009,0.97225,1.045,1.3356,0.000315612,0.000315612,0.000315612
151,3185.46,0.51643,0.69701,0.95937,0.9337,0.9642,0.97023,0.59791,1.02019,1.07142,1.40111,0.000314375,0.000314375,0.000314375
152,3206.5,0.52937,0.71166,0.9765,0.92817,0.95476,0.95658,0.60545,0.99369,1.07477,1.37052,0.000313138,0.000313138,0.000313138
153,3227.97,0.5186,0.69347,0.96729,0.92679,0.95451,0.95668,0.60104,0.98023,1.06055,1.3575,0.0003119,0.0003119,0.0003119
154,3248.91,0.51282,0.68758,0.95833,0.92694,0.95271,0.94656,0.61515,0.95666,1.00414,1.33913,0.000310662,0.000310662,0.000310662
155,3269.86,0.52173,0.684,0.96251,0.92368,0.95227,0.96133,0.62526,0.97689,1.01848,1.37335,0.000309425,0.000309425,0.000309425
156,3290.92,0.51469,0.67633,0.95823,0.91961,0.94669,0.96703,0.6156,0.98729,1.02246,1.37688,0.000308188,0.000308188,0.000308188
157,3311.81,0.50653,0.67051,0.95549,0.93194,0.96768,0.97419,0.62012,0.96262,0.98821,1.32512,0.00030695,0.00030695,0.00030695
158,3332.61,0.50236,0.67531,0.9578,0.93053,0.97046,0.97512,0.62368,0.94005,0.97872,1.3137,0.000305712,0.000305712,0.000305712
159,3353.62,0.4989,0.65782,0.95591,0.92559,0.97064,0.9629,0.608,0.98377,1.00493,1.3591,0.000304475,0.000304475,0.000304475
160,3374.62,0.50757,0.66661,0.96445,0.92505,0.97309,0.95823,0.58666,1.04346,1.07161,1.42938,0.000303237,0.000303237,0.000303237
161,3395.94,0.50304,0.66947,0.95414,0.90853,0.96934,0.97599,0.60583,1.01168,1.07128,1.40246,0.000302,0.000302,0.000302
162,3416.91,0.50739,0.67592,0.95828,0.92571,0.96554,0.96463,0.608,0.986,1.09465,1.38252,0.000300762,0.000300762,0.000300762
163,3437.9,0.49615,0.65707,0.95058,0.92581,0.97489,0.96657,0.60527,1.0059,1.05592,1.40252,0.000299525,0.000299525,0.000299525
164,3458.8,0.49048,0.65102,0.94109,0.92427,0.98218,0.96698,0.61808,0.98174,1.02214,1.38032,0.000298288,0.000298288,0.000298288
165,3479.73,0.50275,0.65782,0.95224,0.92339,0.97515,0.96626,0.61189,1.01834,1.0554,1.44957,0.00029705,0.00029705,0.00029705
166,3500.64,0.49359,0.65555,0.9461,0.93158,0.96505,0.9666,0.60325,1.04413,1.09145,1.49633,0.000295813,0.000295813,0.000295813
167,3521.57,0.49488,0.65869,0.94772,0.90491,0.95767,0.94399,0.58757,1.00089,1.10946,1.4093,0.000294575,0.000294575,0.000294575
168,3542.89,0.49915,0.65464,0.948,0.9265,0.95877,0.96847,0.61879,1.03019,1.11186,1.46041,0.000293338,0.000293338,0.000293338
169,3563.83,0.50115,0.65321,0.94929,0.93426,0.96029,0.97962,0.60726,1.02562,1.07268,1.46089,0.0002921,0.0002921,0.0002921
170,3584.86,0.49244,0.64519,0.94545,0.93863,0.96542,0.97919,0.61375,0.99153,1.03958,1.40581,0.000290863,0.000290863,0.000290863
171,3605.78,0.48858,0.63774,0.95092,0.94456,0.96011,0.97899,0.60278,1.02782,1.069,1.46786,0.000289625,0.000289625,0.000289625
172,3626.68,0.475,0.64035,0.94043,0.94201,0.95301,0.97841,0.62239,0.97343,1.02729,1.36431,0.000288388,0.000288388,0.000288388
173,3647.56,0.47667,0.63139,0.93588,0.9447,0.9774,0.97869,0.63079,0.95653,1.00021,1.35546,0.00028715,0.00028715,0.00028715
174,3668.84,0.48113,0.63573,0.93947,0.93584,0.98017,0.97358,0.59077,1.01151,1.05443,1.43638,0.000285913,0.000285913,0.000285913
175,3689.83,0.48466,0.64272,0.9354,0.94464,0.97582,0.96937,0.61475,0.94032,0.97493,1.34902,0.000284675,0.000284675,0.000284675
176,3710.68,0.48078,0.64832,0.94701,0.94797,0.97283,0.96883,0.59724,0.98935,1.02109,1.41341,0.000283437,0.000283437,0.000283437
177,3731.63,0.47946,0.63539,0.93754,0.94206,0.97335,0.96806,0.58721,1.05714,1.07225,1.52508,0.0002822,0.0002822,0.0002822
178,3752.59,0.47788,0.63986,0.93929,0.9256,0.97326,0.96182,0.59293,1.01962,1.03494,1.44986,0.000280963,0.000280963,0.000280963
